city,state,lga,population2026,growthRate,note
"Lagelu","Oyo","Lagelu",231466,0.022566023732317753,""
"Ikenne","Ogun","Ikenne",231369,0.033751089069097295,""
"Njikoka","Anambra","Njikoka",231091,0.02239083307525558,""
"Askira/Uba","Borno","Askira/Uba",231048,0.02416709516126181,""
"Langtang North","Plateau","Langtang North",230625,0.024430871737923354,""
"Olamaboro","Kogi","Olamaboro",230145,0.01882758132204776,""
"Lapai","Niger","Lapai",229677,0.03428756704178548,""
"Etinan","Akwa Ibom","Etinan",229160,0.015366074118710493,""
"Ekiti East","Ekiti","Ekiti East",229080,0.025535420098846684,""
"Gujba","Yobe","Gujba",228553,0.028693209948779774,""
"Kwali","Federal Capital Territory","Kwali",228482,0.04996093929506906,""
"Oye","Ekiti","Oye",228199,0.025539736468388696,""
"Yabo","Sokoto","Yabo",228090,0.0346986268434637,""
"Augie","Kebbi","Augie",227280,0.03403564165442052,""
"Tangaza","Sokoto","Tangaza",227064,0.03470526047172906,""
"Kudan","Kaduna","Kudan",226343,0.024695773423635492,""
"Magumeri","Borno","Magumeri",226091,0.024157674920048278,""
"Ikeduru","Imo","Ikeduru",225948,0.020786367106850223,""
"Zing","Taraba","Zing",225004,0.028735500802399505,""
"Ovia South West","Edo","Ovia South West",224911,0.024693495405278654,""
"Akure North","Ondo","Akure North",223667,0.027201668013814295,""
"Mubi South","Adamawa","Mubi South",223318,0.027443835603833344,""
"Guri","Jigawa","Guri",223176,0.03444823494512006,""
"Girei","Adamawa","Girei",223082,0.027421613057735605,""
"Ndokwa West","Delta","Ndokwa West",222453,0.019888590880957402,""
"Oshimili South","Delta","Oshimili South",222450,0.019888864436619746,""
"Umuahia South","Abia","Umuahia South",222450,0.023770623835055238,""
"Idanre","Ondo","Idanre",221994,0.027198356438209004,""
"Yunusari","Yobe","Yunusari",221713,0.028682648899694296,""
"Garum Mallam","Kano","Garun Mallam",220943,0.03158587716758965,""
"Ikwuano","Abia","Ikwuano",220580,0.023767863027304603,""
"Ezza South","Ebonyi","Ezza South",219834,0.025206478601308646,""
